CustomerID,Recency,Frequency,Monetary,rfm_features,rfm_standardized,prediction,RFM_Score,RFM_ScoreGroup,Loyalty
15619,11,1,337.0,"[11.0,1.0,337.0]","[0.11052107132513378,0.13877806001284734,0.04502213374916676]",1,7,133,Gold
17389,1,34,31852.0,"[1.0,34.0,31852.0]","[0.010047370120466708,4.71845404043681,4.255326421894539]",3,3,111,Platinum
14450,181,3,485.0,"[181.0,3.0,485.0]","[1.818573991804474,0.41633418003854206,0.06479446548470587]",0,7,322,Gold
15727,17,7,5220.0,"[17.0,7.0,5220.0]","[0.17080529204793404,0.9714464200899314,0.6973754841859066]",1,3,111,Platinum
15790,11,1,225.0,"[11.0,1.0,225.0]","[0.11052107132513378,0.13877806001284734,0.030059288111461486]",1,6,123,Gold
13285,24,4,2741.0,"[24.0,4.0,2741.0]","[0.241136882891201,0.5551122400513894,0.3661889276156264]",1,3,111,Platinum
14570,281,2,218.0,"[281.0,2.0,218.0]","[2.823311003851145,0.2775561200256947,0.02912411025910491]",0,8,323,Silver
16574,72,1,447.0,"[72.0,1.0,447.0]","[0.7234106486736029,0.13877806001284734,0.059717785714770155]",1,6,222,Gold
13832,20,1,52.0,"[20.0,1.0,52.0]","[0.20094740240933415,0.13877806001284734,0.006947035474648877]",1,7,133,Gold
13623,31,5,756.0,"[31.0,5.0,756.0]","[0.31146847373446795,0.6938903000642367,0.1009992080545106]",1,5,212,Platinum
15957,32,1,433.0,"[32.0,1.0,433.0]","[0.32151584385493465,0.13877806001284734,0.057847430010056995]",1,6,222,Gold
16503,107,4,1443.0,"[107.0,4.0,1443.0]","[1.0750686028899377,0.5551122400513894,0.19278023442150635]",1,5,311,Platinum
17679,53,2,1991.0,"[53.0,2.0,1991.0]","[0.5325106163847355,0.2775561200256947,0.26599130057742143]",1,5,221,Platinum
17420,51,3,603.0,"[51.0,3.0,603.0]","[0.5124158761438021,0.41633418003854206,0.08055889213871678]",1,6,222,Gold
15447,331,1,156.0,"[331.0,1.0,156.0]","[3.3256795098744805,0.13877806001284734,0.020841106423946633]",0,9,333,Silver
16386,29,2,320.0,"[29.0,2.0,320.0]","[0.2913737334935345,0.2775561200256947,0.042750987536300786]",1,6,213,Gold
18024,153,2,391.0,"[153.0,2.0,391.0]","[1.5372476284314063,0.2775561200256947,0.052236362895917515]",0,8,332,Silver
16861,60,2,173.0,"[60.0,2.0,173.0]","[0.6028422072280024,0.2775561200256947,0.02311225263681261]",1,8,233,Silver
16339,285,1,111.0,"[285.0,1.0,111.0]","[2.8635004843330116,0.13877806001284734,0.014829248801654335]",0,9,333,Silver
12940,55,2,923.0,"[55.0,2.0,923.0]","[0.5526053566256689,0.2775561200256947,0.12330987967501757]",1,5,212,Platinum
14465,247,3,1062.0,"[247.0,3.0,1062.0]","[2.4817004197552768,0.41633418003854206,0.14187983988609823]",0,6,312,Gold
15967,24,2,427.0,"[24.0,2.0,427.0]","[0.241136882891201,0.2775561200256947,0.057045848993751355]",1,4,112,Platinum
14423,219,1,265.0,"[219.0,1.0,265.0]","[2.200374056382209,0.13877806001284734,0.03540316155349908]",0,9,333,Silver
18161,16,5,1626.0,"[16.0,5.0,1626.0]","[0.16075792192746732,0.6938903000642367,0.21722845541882835]",1,3,111,Platinum
14536,260,1,175.0,"[260.0,1.0,175.0]","[2.612316231321344,0.13877806001284734,0.02337944630891449]",0,9,333,Silver
18218,212,2,665.0,"[212.0,2.0,665.0]","[2.130042465538942,0.2775561200256947,0.08884189597387507]",0,8,332,Silver
16500,5,6,400.0,"[5.0,6.0,400.0]","[0.05023685060233354,0.8326683600770841,0.05343873442037598]",1,6,132,Gold
18282,8,2,181.0,"[8.0,2.0,181.0]","[0.08037896096373366,0.2775561200256947,0.02418102732522013]",1,7,133,Gold
13261,269,2,945.0,"[269.0,2.0,945.0]","[2.7027425624055446,0.2775561200256947,0.12624901006813824]",0,8,332,Silver
14148,234,1,158.0,"[234.0,1.0,158.0]","[2.3510846081892094,0.13877806001284734,0.021108300096048513]",0,9,333,Silver
